,$\sigma ($$\bar{x}$$)$,$range ($$\bar{x}$$)$,$IQR ($$\bar{x}$$)$,$\sigma ($$\sigma$$)$,$range ($$\sigma$$)$,$IQR ($$\sigma$$)$,$\sigma ($min$)$,$range ($min$)$,$IQR ($min$)$,$\sigma ($$x_{10}$$)$,$range ($$x_{10}$$)$,$IQR ($$x_{10}$$)$,$\sigma ($$x_{20}$$)$,$range ($$x_{20}$$)$,$IQR ($$x_{20}$$)$,$\sigma ($$x_{30}$$)$,$range ($$x_{30}$$)$,$IQR ($$x_{30}$$)$,$\sigma ($$x_{40}$$)$,$range ($$x_{40}$$)$,$IQR ($$x_{40}$$)$,$\sigma ($median$)$,$range ($median$)$,$IQR ($median$)$,$\sigma ($$x_{60}$$)$,$range ($$x_{60}$$)$,$IQR ($$x_{60}$$)$,$\sigma ($$x_{70}$$)$,$range ($$x_{70}$$)$,$IQR ($$x_{70}$$)$,$\sigma ($$x_{80}$$)$,$range ($$x_{80}$$)$,$IQR ($$x_{80}$$)$,$\sigma ($$x_{90}$$)$,$range ($$x_{90}$$)$,$IQR ($$x_{90}$$)$,$\sigma ($max$)$,$range ($max$)$,$IQR ($max$)$,$\sigma ($$IQR$$)$,$range ($$IQR$$)$,$IQR ($$IQR$$)$,$\sigma ($$CV$$)$,$range ($$CV$$)$,$IQR ($$CV$$)$,$\sigma ($$\overline{\Delta x}$$)$,$range ($$\overline{\Delta x}$$)$,$IQR ($$\overline{\Delta x}$$)$,$\sigma ($$max(\Delta x)$$)$,$range ($$max(\Delta x)$$)$,$IQR ($$max(\Delta x)$$)$,$\sigma ($$\sigma(\Delta x)$$)$,$range ($$\sigma(\Delta x)$$)$,$IQR ($$\sigma(\Delta x)$$)$,$\sigma ($$\gamma_{1}$$)$,$range ($$\gamma_{1}$$)$,$IQR ($$\gamma_{1}$$)$,$\sigma ($$Kurt[X]$$)$,$range ($$Kurt[X]$$)$,$IQR ($$Kurt[X]$$)$,$\sigma ($$R_{XX}$$)$,$range ($$R_{XX}$$)$,$IQR ($$R_{XX}$$)$,$||X_{train}||$,$||x_{train}^{i}||$,$||X_{test}||$,$||x_{test}^{i}||$,$||Y_{C}||$,$min(||I_{c}||)$,$max(||I_{c}||)$,$mean(||I_{c}||)$,$std(||I_{c}||)$
ACSF1,0.0,1.694330081900379e-10,1.8977714013481366e-10,3.6180939059138925e-10,4.5932547544400347e-10,3.0333323028276093e-10,0.012114079675061777,0.04548942416088769,0.037734464022277675,0.050125518441626764,0.09560739198815621,0.0979842341966377,0.05410840500475415,0.09724943334458895,0.08820052339198421,0.028642777902559573,0.06498168888308986,0.023576257615802503,0.09931097683206794,0.16318359792825,0.07721217492111451,0.029586962719905716,0.08479192722092903,0.07464727122251662,0.3503043557756513,0.6084596052229782,0.4847105034716657,0.19633927346699095,0.3186925296168504,0.3678005924468729,0.10379703970188997,0.2188773512642369,0.08365603276082187,0.07167384893581186,0.14785378642610822,0.08146279568525636,1.0,1.0,1.0,0.4524285305227023,0.4271941157621511,0.5886429995249799,2.591723400369765e-09,3.8246170162565415e-09,2.7917166401676673e-09,0.0058829080778634345,0.006468827320013103,0.009242162654074721,1.0,1.0,1.0,0.27231411336503836,0.3745530084715827,0.49214381253630746,1.0,1.0,0.7331915876969508,1.0,1.0,1.0,1.0,1.0,1.0,0.21621621621621623,1.0,0.09090909090909091,1.0,0.22857142857142856,0.23076923076923078,0.16666666666666666,0.16666666666666666,0.0
Adiac,7.895565106865981e-10,2.221443279147084e-09,1.3472707749679865e-09,2.652405278247749e-09,3.577052099366094e-09,2.9773604288011533e-09,0.12108579540377573,0.44933553395103537,0.10361539008229205,0.07680991613787214,0.26600123855489477,0.16141964897101257,0.09579017515624101,0.37916774926583163,0.024067470845603744,0.06929378196217127,0.2864031198779402,0.07352743055789078,0.20189251826254118,0.4380271659903712,0.34986926653034384,0.22651680055498158,0.5959234692110684,0.40940427864431644,0.19016518212770975,0.3938842986354156,0.2880622838736933,0.07186903412379717,0.2564870160683194,0.03698336774072873,0.04718105576425939,0.17140837007010884,0.07646703749700333,0.045965668625593994,0.15066746703513564,0.07459248868697693,0.07278734938771375,0.1292487942252665,0.070654662660042,0.29461632065459886,0.7197461323539383,0.12453847341878002,2.4945998164853266e-09,5.169655300969654e-09,3.0769210121007777e-09,0.052335057123005825,0.06909505350022861,0.02542307392353659,0.03213663976724501,0.06309251945904037,0.0189218399604286,0.05575662241584279,0.19177865291908597,0.012914862577076735,0.0953896102871265,0.15621864975330857,0.16203732749821498,0.005434325830663776,0.024987197737822063,0.0,0.005283685365252196,0.011957150400416337,0.0008611549685847172,1.0,0.08088761632068718,0.42159090909090907,0.06277372262773723,1.0,0.0,0.375,0.18918918918918917,0.9276664867101272
AllGestureWiimoteX,0.10053872444232276,0.18146539129342304,0.17062282027663014,1.0,1.0,1.0,0.7151655359155944,1.0,1.0,0.45879925747432304,0.6932300102162074,0.8365478587488999,0.3085597084502909,0.5208977709241027,0.5124973920815628,0.20033655412626142,0.3406935810328234,0.27642482930712264,0.32453326951429895,0.4889050448604414,0.34846956334363344,0.17876739606060627,0.30544119497420663,0.31194177079650504,0.19885866744899555,0.3768985862603529,0.1519203735049656,0.1615680298922627,0.3240344618179537,0.18843522721418418,0.23292515446469292,0.45549303371347966,0.28373252884148004,0.42203451202083736,0.7618852620123506,0.5777384254419561,0.45467339912113935,0.48364868666201505,0.7300613973419585,1.0,1.0,1.0,0.7668142084340691,1.0,1.0,0.3692880986614378,0.3637554099757932,0.1820026084547609,0.1554090470476921,0.15904153211554584,0.21822534221193188,0.6478965213678137,1.0,0.712544857468307,0.23758365523753922,0.27974662497325176,0.27567460540744315,0.2152025571970648,0.3072529481318659,0.45938241563159243,0.354521902733279,0.3229615536043398,0.38089321668781045,0.7567567567567568,0.09806728704366499,0.7727272727272727,0.17226277372262774,0.22857142857142856,1.0,1.0,1.0,0.0
AllGestureWiimoteY,0.17356140598428504,0.3091723976000628,0.2871925411627364,0.6446290616102162,0.7386189674031881,0.6515427643232211,0.45845086481210046,0.7620538304310563,0.4916247871894109,0.2755272917826786,0.48569922448257535,0.44504851096220277,0.1768805080341424,0.33655838835410745,0.22256272086218093,0.09984638669589792,0.20282093285717193,0.14163779573016363,0.1627222835698999,0.2520356102973748,0.2611843312120507,0.2388571005947992,0.40945716140359023,0.45718135975876384,0.41169643307523585,0.6870541766702857,0.4703546034529821,0.204198761217105,0.37790441004081426,0.28436618060518937,0.2198568244569855,0.4379671226805407,0.2653628118327963,0.388832464937668,0.6417244683519039,0.673242760084675,0.43569798054112097,0.43237894369244184,0.7037156311233568,0.6266513965662395,0.7703117768058635,0.2162284277685363,0.5567130396506624,0.8470702790059209,0.6346998060794795,1.0,0.8657452378482972,1.0,0.1313213744180634,0.14694620782022472,0.18122283545875045,0.611291873896936,0.9897556136636961,0.7054697260003846,0.6038547599033348,0.6239824763240172,1.0,0.13003922820301667,0.16426843051564013,0.5124715854113125,0.15006025349290478,0.16211534314912854,0.113007594091059,0.7567567567567568,0.0,0.7727272727272727,0.0,0.22857142857142856,1.0,1.0,1.0,0.0
AllGestureWiimoteZ,0.12148713259786885,0.23449701018727517,0.13717303720035157,0.727821667137064,0.6312314416781813,0.7690909315414188,0.5049571676454395,0.7370953831633886,0.6572762067133037,0.34307338718740416,0.49933709051882724,0.6970123150314799,0.21475709174921281,0.33662925207646266,0.41971715190834985,0.1506228723867972,0.27053936051946426,0.2544476392052115,0.3179206147436629,0.5574246178016842,0.31915698376756996,0.27461670357971846,0.573614239925319,0.21257846198965485,0.26420695245139353,0.45894795844397335,0.30567191473977273,0.13092518698630304,0.22267928505373155,0.1774859329365546,0.16887424425241135,0.31107128247777754,0.3161353843304997,0.3228038263430583,0.43976536742785705,0.7581465258513945,0.31152733562289325,0.28866700277972435,0.4936585504807307,0.6453898692003953,0.4914362822433752,0.9377332149655673,0.4709549547970316,0.534404433420189,0.6398835670167882,0.9977957517552163,1.0,0.7039175181568409,0.12155657303058966,0.13020739460008168,0.17090777065224574,0.41963692088424803,0.553555689255549,0.5789800247410908,0.13649079836551353,0.13146800372106016,0.28230311703610994,0.1220460185657382,0.14631685634613228,0.5294397399468004,0.3481433729854619,0.3489785517309462,0.28282443996340173,0.7567567567567568,0.020042949176807445,0.7727272727272727,0.014598540145985401,0.22857142857142856,1.0,1.0,1.0,0.0
ArrowHead,1.8120381455427935e-10,2.2410443811800887e-10,2.241053924537619e-10,0.0,0.0,0.0,0.12393195554991232,0.120637860134916,0.11052814894290834,0.011867702878681146,0.0169940951940187,0.026548836253580267,0.12157412096599972,0.1373487512728678,0.1373487512728676,0.10456701604501932,0.120060096773167,0.1200600967731666,0.06214935794139144,0.06585842155168113,0.06585842155168116,0.19136535245423483,0.20502865783406818,0.20502865783406668,0.42871301328396566,0.4319807834481128,0.4319807834481147,0.15533051918114968,0.16834682042555207,0.16834682042555293,0.04218637147375195,0.05636751884016261,0.05636751884016303,0.1263254933824586,0.1348052951956474,0.13480529519564835,0.13781745741452645,0.09767586300215729,0.1492522215493594,0.5887885552151688,0.3691711392943367,0.4494215834709554,7.48095495194435e-12,7.897763481415064e-11,7.649880145513047e-11,0.009273887642068818,0.004505142976454895,0.012088070685701863,0.04232874685044612,0.028937290740670037,0.04516763590987918,0.1320589092758809,0.12078306073815794,0.14392390358323495,0.024042221359680524,0.016992941204687816,0.03312924002203953,0.01845577550347797,0.014383494796823668,0.06263133467798154,0.008336427093595247,0.005788744058387436,0.005126951609155542,0.043243243243243246,0.13457408732999285,0.17613636363636365,0.11751824817518249,0.02857142857142857,0.3076923076923077,0.25,0.25,0.0
BME,1.0,1.0,1.0,0.4284688594993629,0.29661342008002184,0.2887710104335374,1.0,0.8837024046661327,0.809646249485115,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2736354217121584,0.31493755394063044,0.3149375539406268,0.4745876760552206,0.48969355756119676,0.48969355756120103,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.009239299518632397,0.00856885083400766,0.013093511373147855,0.347804184308827,0.22959151598761765,0.27950013336331003,1.0,0.8691458426624024,0.8418619455372077,0.017826203248380374,0.009082424067337799,0.0243697002952595,0.03741747185634242,0.026113295870375457,0.04075971903694383,0.3273125725423605,0.27776817274565396,0.32539364864856024,0.20802673660452298,0.12896917975895106,0.25143680897931653,0.021671444692528588,0.015865274319467364,0.06867719338234447,0.0247946226922869,0.01614159666257497,0.014195761903162438,0.02702702702702703,0.046528274874731566,0.14772727272727273,0.027737226277372264,0.02857142857142857,0.23076923076923078,0.16666666666666666,0.16666666666666666,0.0
Beef,3.914651939971431e-10,6.912785106635465e-10,1.675215532045498e-10,1.5042422089593033e-09,1.453604848065717e-09,8.685822026399908e-10,0.21318007041265438,0.26088658135128234,0.015731068539746314,0.08013245880029747,0.13905596058535558,0.0,0.06593531925413054,0.1020417805860581,0.0837312018422067,0.04583475120563241,0.07329433096798146,0.013050326867290572,0.11106980550552002,0.14888987317310326,0.10248673281431718,0.12350577532971838,0.17616183564289556,0.21399642282262515,0.2060361599112492,0.24241479586020803,0.28823170903526424,0.0777600476793224,0.09710287220581745,0.13991844612255896,0.041626361105254105,0.06962111143814319,0.09263830156649187,0.11047818293390622,0.1800191755360297,0.09744055077412696,0.08162520599326001,0.08014165214904172,0.0707120389209048,0.3115421500642312,0.25975319912052675,0.15549205068832897,1.174004939176654e-09,1.579348799625401e-09,1.1978690724022259e-09,0.19980942763972845,0.12714430548143335,0.012786550101795286,0.07168737489246682,0.059188204708675786,0.03627693461836011,0.05972067795920976,0.07308039482443789,0.021746909882018887,0.26478692591922554,0.21680594007929677,0.4618362635673258,0.04340674387367887,0.046954343521763586,0.03603791339079151,0.006435575506530571,0.005659069773379666,0.0017406780373697324,0.02702702702702703,0.29133858267716534,0.011363636363636364,0.2773722627737226,0.08571428571428572,0.07692307692307693,0.0,0.0,0.0
BeetleFly,7.856864870315888e-10,6.064727364116226e-10,6.064740088592932e-10,4.495729304394683e-10,1.9916369250772085e-10,1.938974424838726e-10,0.28786557887931763,0.18480705078011708,0.16931982390503658,0.0,0.0,0.009719922345173599,0.026531285131419675,0.02090436598890612,0.020904365988906316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01794681373750762,0.008839087387606491,0.013506442518353581,0.0,0.0,0.0,7.806299172689126e-10,5.078209416719394e-10,4.918802229590325e-10,0.0,0.0,0.0,0.000500301536631238,0.0,0.0,0.12981236950973807,0.07970755459968187,0.09644193836972784,0.0,0.0,0.0,0.008096108964674848,0.0025929176548319783,0.014524202439987399,0.012457448788128586,0.006110750798508161,0.005409020537516905,0.0,0.3214030064423765,0.0,0.30802919708029197,0.0,0.23076923076923078,0.16666666666666666,0.16666666666666666,0.0
BirdChicken,4.254278308897723e-11,0.0,0.0,1.5574291720184949e-10,5.232175377521467e-11,5.093817777239561e-11,0.4381169268850238,0.29011386341023154,0.26580169997667197,0.004172646954944665,0.0032817061514765853,0.012969730567698049,0.0,0.0,0.0,0.06754664707358685,0.05329308090411791,0.0532930809041175,0.20694771130288173,0.150327447481611,0.15032744748161156,0.3752609527968931,0.2951413705388308,0.29514137053882994,0.45887545727992735,0.3414088397402564,0.34140883974025843,0.10600032736364458,0.08503204755352886,0.08503204755352982,0.11406735653490106,0.09066959072858527,0.09066959072858663,0.20896263804661305,0.16583760822688587,0.16583760822688579,0.0,0.0,0.0,0.1292258077043146,0.05660374381322298,0.06890826900377185,0.0,0.0,0.0,0.013860253298666173,0.0048681947325873885,0.01306220076628616,0.02518374676448397,0.012026289158488485,0.018771593198740368,0.1137891039052466,0.06886434968357139,0.08390754191228733,0.25693604221957356,0.12905501657306687,0.2516041554311942,0.023824884035368005,0.011512628425779946,0.05091781578181656,0.004774717964448687,0.0022640788373935474,0.002039443126117394,0.0,0.3214030064423765,0.0,0.30802919708029197,0.0,0.23076923076923078,0.16666666666666666,0.16666666666666666,0.0
