,$\sigma ($$\bar{x}$$)$,$range ($$\bar{x}$$)$,$IQR ($$\bar{x}$$)$,$\sigma ($$\sigma$$)$,$range ($$\sigma$$)$,$IQR ($$\sigma$$)$,$\sigma ($min$)$,$range ($min$)$,$IQR ($min$)$,$\sigma ($$x_{10}$$)$,$range ($$x_{10}$$)$,$IQR ($$x_{10}$$)$,$\sigma ($$x_{20}$$)$,$range ($$x_{20}$$)$,$IQR ($$x_{20}$$)$,$\sigma ($$x_{30}$$)$,$range ($$x_{30}$$)$,$IQR ($$x_{30}$$)$,$\sigma ($$x_{40}$$)$,$range ($$x_{40}$$)$,$IQR ($$x_{40}$$)$,$\sigma ($median$)$,$range ($median$)$,$IQR ($median$)$,$\sigma ($$x_{60}$$)$,$range ($$x_{60}$$)$,$IQR ($$x_{60}$$)$,$\sigma ($$x_{70}$$)$,$range ($$x_{70}$$)$,$IQR ($$x_{70}$$)$,$\sigma ($$x_{80}$$)$,$range ($$x_{80}$$)$,$IQR ($$x_{80}$$)$,$\sigma ($$x_{90}$$)$,$range ($$x_{90}$$)$,$IQR ($$x_{90}$$)$,$\sigma ($max$)$,$range ($max$)$,$IQR ($max$)$,$\sigma ($$IQR$$)$,$range ($$IQR$$)$,$IQR ($$IQR$$)$,$\sigma ($$CV$$)$,$range ($$CV$$)$,$IQR ($$CV$$)$,$\sigma ($$\overline{\Delta x}$$)$,$range ($$\overline{\Delta x}$$)$,$IQR ($$\overline{\Delta x}$$)$,$\sigma ($$max(\Delta x)$$)$,$range ($$max(\Delta x)$$)$,$IQR ($$max(\Delta x)$$)$,$\sigma ($$\sigma(\Delta x)$$)$,$range ($$\sigma(\Delta x)$$)$,$IQR ($$\sigma(\Delta x)$$)$,$\sigma ($$\gamma_{1}$$)$,$range ($$\gamma_{1}$$)$,$IQR ($$\gamma_{1}$$)$,$\sigma ($$Kurt[X]$$)$,$range ($$Kurt[X]$$)$,$IQR ($$Kurt[X]$$)$,$\sigma ($$R_{XX}$$)$,$range ($$R_{XX}$$)$,$IQR ($$R_{XX}$$)$,$||X_{train}||$,$||x_{train}^{i}||$,$||X_{test}||$,$||x_{test}^{i}||$,$||Y_{C}||$,$min(||I_{c}||)$,$max(||I_{c}||)$,$mean(||I_{c}||)$,$std(||I_{c}||)$
ACSF1,2.3968398626289876e-11,6.952131925697103e-11,3.653559399463546e-11,2.4087966854141385e-11,7.565968684897229e-11,2.7722490969495084e-11,0.011744681244224639,0.03167997020349818,0.015238897414797233,0.010914608168010351,0.030162039635412943,0.014232217003247373,0.010009264730707353,0.028670808628070903,0.013132931853017664,0.006475308399070882,0.020428923233885406,0.004708730442871442,0.006215307212681766,0.01917602601962761,0.004684213745424916,0.0029320619964347955,0.009130382404885617,0.0041542874897354184,0.0170007544819488,0.055810209383765005,0.022254049956409505,0.024468552646761742,0.06884476621848087,0.03963824919250958,0.016534651990629638,0.05390862294423507,0.01182048111903905,0.012570886619073754,0.03787283977175654,0.011603804582601546,0.19856539725898897,0.5664142237593364,0.1859691185610266,0.03090669739846378,0.08654657450148472,0.04854230188261101,3.60634468937917e-10,1.0811966877355417e-09,4.1474768064375667e-10,5.651535945572058e-06,1.9719683347895453e-05,5.831834453041658e-06,0.18594335152687363,0.5387857089250057,0.1727960627668085,0.004632488247375661,0.01318361620979741,0.0073851388134459905,1.0482832180971484,2.9512758993806134,0.5550233130666533,9.180915918213156,22.87267976707165,2.842712709445572,0.0982106360589045,0.27738319304973635,0.15831382965089735,100,1460,100,1460,10,10,10,10.0,0.0
Adiac,1.0347569673950789e-10,4.276011211779007e-10,1.375280445081728e-10,1.3483067548826383e-10,5.022055549197546e-10,2.1561122331981153e-10,0.026831019644820518,0.14449393613333833,0.02528245077145848,0.014804262387510397,0.07482365688682766,0.02262728628271249,0.01618116270168217,0.10359674179070993,0.004610554027185798,0.012506609307104198,0.07931428382178343,0.011350799408977374,0.012226220222944756,0.05053011182493489,0.020236540303434525,0.011804152724079465,0.05053658648287207,0.01771343599373293,0.009306262154578608,0.036212866287990364,0.013274026369534009,0.009470682728763901,0.05563082090635729,0.004501486659675202,0.009411732582875348,0.04328326421565176,0.01101589619163379,0.009384118457416858,0.0384943589647091,0.010845007076017654,0.016837946713866913,0.07637573057287717,0.014829841566335822,0.021763977736426056,0.14126794863916464,0.012887869821501141,3.4870244126985465e-10,1.4404276660329174e-09,4.54068005417696e-10,3.638262132367439e-05,0.00018653908279399846,1.3863671328142605e-05,0.006669388804730192,0.03506592494568325,0.0038311914311230585,0.0011686318450992246,0.007074051145942249,0.000456270283980105,0.1001443020452618,0.46124085072902754,0.12275236936167375,0.11253369065041216,0.7026744864227551,0.05626383998811835,0.0005544121603760111,0.0034012577077604522,0.00017019661856254586,390,176,391,176,37,4,15,10.54054054054054,2.512132721575596
AllGestureWiimoteX,0.010124116826206194,0.03166606540499184,0.01488700778806007,0.048346680986377615,0.13681310761433976,0.0702643310702144,0.10907702212689281,0.29832144816236983,0.16193636862314864,0.0704849815195907,0.1868038032547084,0.1119740354726641,0.04768634700767933,0.1412645821905285,0.06951599926860474,0.03194913991681503,0.09375242274638879,0.03833031632839634,0.019412531493060138,0.05633424757725364,0.020156701407935684,0.009652944692212359,0.027004936917169542,0.013765770707624747,0.00972397354011253,0.0346615469007131,0.0070570488206253,0.020278839581432857,0.06997952093618576,0.020587493143170654,0.03278040258544277,0.10687218869994497,0.034212835984640866,0.05600135088155565,0.17350740537575426,0.06641543243737447,0.09168504696748757,0.2758237337721704,0.13625982812214288,0.0626297969263466,0.19368897421832143,0.0801444505394039,0.09420624723122684,0.2670786270253471,0.137867188065679,0.00024606745142488444,0.0009714349116816902,9.158619624597776e-05,0.029502707902737152,0.08665203876394223,0.03815597001279943,0.010639962395882586,0.03409031877857108,0.010571778235418817,0.24918051606786418,0.8257772175220304,0.20875731896109515,2.025186168647013,7.1208806497296875,1.3363094526734032,0.03484085649374173,0.08964204000198928,0.06032164724818667,300,200,700,326,10,30,30,30.0,0.0
AllGestureWiimoteY,0.017477404439951064,0.05395118754566641,0.025057829824298494,0.031165675598560996,0.10105275627667526,0.04578021650104274,0.07353675027959473,0.23185144779308148,0.08443451975089777,0.0437703229095942,0.13240829128596748,0.060162848311286876,0.02818836055186606,0.0922723760170917,0.03098777217146237,0.01703963270802899,0.057086231192327086,0.020407518523569257,0.009930983964590882,0.02931224146552114,0.015177962634665143,0.01236010840232112,0.035431155961634486,0.019648620391835958,0.019950569052501525,0.06298831765080237,0.021598481749170395,0.02541557078957496,0.08142279194508845,0.030776512568753023,0.031136261567927627,0.10294922496477116,0.032156916223464616,0.0518856482036643,0.14696486203918357,0.07696349834083371,0.0879659924018535,0.24697031683258314,0.13140824582935595,0.04100015483299374,0.15072616937133504,0.01993187190326834,0.06839446332919655,0.22623436712001255,0.08750427754091802,0.0006633239548900881,0.002308600612402116,0.0004976215241541778,0.025041032109959165,0.08014909768625847,0.03178326287558525,0.010054467791473738,0.0337478815440273,0.010469483380790165,0.6330760495573492,1.8416320176017198,0.7569539160784132,1.2486727224789391,3.8696746109495272,1.4842397097865392,0.014767844416713428,0.045039767893243154,0.01792072789123067,300,63,700,90,10,30,30,30.0,0.0
AllGestureWiimoteZ,0.012233593867655714,0.04092018652603291,0.011968481534128217,0.03518776195784435,0.08636073516459872,0.054039659838405744,0.07997520834747547,0.22487933304080743,0.10968809419335956,0.053616187073082924,0.13598288723124174,0.09350784335234752,0.033796817422313094,0.0922912095948516,0.05718681439227735,0.024573229265820548,0.07509543659499796,0.03540798230217934,0.01902505347275632,0.0641509433962264,0.01848471551850228,0.013971151429393822,0.048729340353956485,0.009741114523914018,0.01286387907417743,0.042155185022670794,0.014078177563258798,0.016586572464037323,0.048449246745648544,0.01942454658475934,0.02472208689957603,0.07454512212958897,0.03783933011554785,0.04370078405957628,0.10235373701916062,0.08634077446248356,0.06362938017095678,0.16609258446687158,0.0927261591341233,0.04208575272387961,0.09856296621325142,0.07536085819804006,0.057858733485752094,0.14272800238192945,0.08821894808479468,0.0006618657028522942,0.002666219139989553,0.00035065290439371727,0.023232331923699275,0.07114962702939882,0.030006764662863825,0.00698892970682382,0.01916710618872952,0.008640648727892792,0.143223219064395,0.38820062996680105,0.2137740249138551,1.1757911802153582,3.4614886946102135,1.5315206048087284,0.034214644658234664,0.0968564917855379,0.04479932748716564,300,91,700,110,10,30,30,30.0,0.0
ArrowHead,4.2215383494404024e-11,7.906159060766527e-11,3.953076754825702e-11,6.595683671730174e-12,1.2817941152931667e-11,6.408984454253641e-12,0.027225049736204973,0.052672603016180604,0.0263363015080903,0.0053379533966641645,0.009556853221498185,0.00477842661074912,0.019999039971496192,0.039328075805422275,0.019664037902711096,0.017740022199961174,0.035076610653491824,0.017538305326745884,0.004037768687158639,0.008073194133680461,0.004036597066840231,0.010220508314545653,0.018870627716401855,0.0094353138582009,0.020768195014166616,0.03969225026506851,0.019846125132534254,0.019527259326176386,0.03690772614218096,0.018453863071090537,0.008783345841285674,0.01753275763197626,0.008766378815988074,0.019345466476658812,0.03499053404281749,0.0174952670214088,0.02958341101764089,0.0586072204181467,0.02930361020907335,0.038806602481307066,0.07569347206566235,0.037846736032831174,4.314976412723516e-11,8.081646463153902e-11,4.040823231576951e-11,7.894887106822438e-06,1.4488957135023593e-05,7.244478567511796e-06,0.008557237338281957,0.016702676931217537,0.008351338465608774,0.002389093735796329,0.004700894428386631,0.0023504472141933144,0.025363781314925646,0.05037979785311303,0.025189898926556514,0.23126238384472994,0.461565703388383,0.23078285169419144,0.0008541149252159713,0.001690773280643043,0.0008453866403215216,36,251,175,251,3,12,12,12.0,0.0
BME,0.10069867964612551,0.1745019540452452,0.08725097702262252,0.02071504726658239,0.04058060377028136,0.020290301885140666,0.14851027399958433,0.2658338430086769,0.13291692150433845,0.14937316838159934,0.2672107201945047,0.13360536009725232,0.1500692092747142,0.2685964353073028,0.13429821765365146,0.15059346319470357,0.26908999528561106,0.13454499764280553,0.05899247639989477,0.11463983279103379,0.05731991639551687,0.01392694268046022,0.0277742265130152,0.013887113256507488,0.02297241670879164,0.04496320643094731,0.022481603215473767,0.12130454411225731,0.2135708385683296,0.10678541928416485,0.12928693527208868,0.22875350364425173,0.11437675182212592,0.1276455510312036,0.2261050169558929,0.11305250847794646,0.00438295585260503,0.008459869848156165,0.004229934924078083,0.0248453725614508,0.04958533280911065,0.024792666404555297,0.12285407101905457,0.23213027835087782,0.11606513917543887,1.3552794146228216e-05,2.668160116373747e-05,1.3340800581868735e-05,0.007647538958957623,0.015184381778741901,0.007592190889370937,0.0055121935122533355,0.009948407149562168,0.004974203574781084,0.21820136182286734,0.380826493000817,0.1904132465004085,0.26058263697739814,0.4952586556917258,0.247629327845863,0.002469897446026215,0.004561594717137463,0.002280797358568787,30,128,150,128,3,10,10,10.0,0.0
Beef,6.338842677983377e-11,1.605843791274708e-10,3.459377229120264e-11,7.932080186460809e-11,2.116901376414404e-10,6.743933189667928e-11,0.03958079960607506,0.09185092880277408,0.011884477709840302,0.015288573190905073,0.041550263916446006,0.0012649425351627663,0.011760498130664468,0.02994447929374977,0.012539022077012685,0.00902604402276308,0.022639607739028733,0.003309084471692203,0.006904332696926535,0.017545401458862853,0.006125871380824932,0.00716329600173951,0.016532158198209412,0.009798548247722139,0.010068843314462573,0.022379029293234376,0.013281763240735933,0.010180512286874737,0.021773800194268444,0.01543442828208852,0.008712890318924513,0.020499414430868335,0.012825767369722407,0.017381044888824096,0.0449779129689285,0.013368482744040233,0.018570107236211716,0.04873937503511394,0.014840407425340207,0.022744561643520934,0.055227026093491866,0.015265851840045183,1.8646198448134498e-10,4.815335352681416e-10,1.9500839831820826e-10,0.00013394640609124323,0.00034116665568867984,7.5911878867369735e-06,0.01399523386282523,0.03296680563722668,0.006820149350416423,0.0012320372674315897,0.0031063461109367575,0.0005839672743793156,0.27769276827114336,0.640036549840453,0.349651436824202,0.4587636178057623,1.202167146314837,0.15668164301349496,0.0006674989167589038,0.0016548149094196551,0.000309407474115897,30,470,30,470,5,6,6,6.0,0.0
BeetleFly,1.0308599046734194e-10,1.4578560580957856e-10,7.289280290478928e-11,2.833104271683284e-11,4.0066144846306884e-11,2.0033058545365634e-11,0.04992046294728239,0.07059819573999032,0.03529909786999516,0.0036080563570794907,0.005102562233988278,0.002551281116994125,0.005925868810309024,0.00838044404038274,0.00419022202019137,0.002225641844243004,0.003147532881113524,0.0015737664405567897,0.0003960376406174923,0.0005600818025714993,0.00028004090128574965,0.001599108999102415,0.0022614816342435007,0.001130740817121778,0.00016905667585265504,0.0002390822438005369,0.00011954112190015742,0.0008109225273804843,0.0011468176362553484,0.0005734088181276187,0.003475831898860045,0.004915568611896903,0.0024577843059483406,0.003686246125041231,0.005213139264278577,0.002606569632139233,0.006089570142796884,0.008611952684965618,0.0043059763424827535,0.004695625231526292,0.006640616886245787,0.0033203084431228658,1.381342616193817e-10,1.9535134621051498e-10,9.76757008608331e-11,1.7596137389878504e-06,2.4884696142146492e-06,1.2442348071073212e-06,0.0008094999468068419,0.001144805803514535,0.0005724029017572692,0.0023531601316627826,0.003327870972633165,0.0016639354863165826,0.00016468349483280247,0.00023289763189154877,0.00011644881594574663,0.1368036483746745,0.19346957491358474,0.09673478745679243,0.0012586960217267039,0.0017800649848309646,0.0008900324924154823,20,512,20,512,2,10,10,10.0,0.0
BirdChicken,2.8252400710801718e-11,3.995492825481506e-11,1.9977353105105067e-11,1.4125336804548582e-11,1.9976242882080442e-11,9.988121441040221e-12,0.07072166503905138,0.1000155378518336,0.05000776892591681,0.004216282707905771,0.0059627241883195015,0.002981362094159723,0.0019973316038794115,0.00282465344276267,0.0014123267213813073,0.012247390710079548,0.017320426045876747,0.008660213022938346,0.012522436532349395,0.017709399578004825,0.00885469978900244,0.018505380066794405,0.02617055946732938,0.01308527973366469,0.022217463725967813,0.03142023852279596,0.01571011926139798,0.01358328586060854,0.019209667085663296,0.009604833542831703,0.017826771883383406,0.025210862570812176,0.012605431285406143,0.02958910948865738,0.041845319937401704,0.020922659968700796,0.002572115216171644,0.0036375202226961445,0.0018187601113479612,0.012182215362469887,0.017228254185354785,0.008614127092677393,4.2230698356594565e-11,5.972322636438321e-11,2.986155767104037e-11,1.09290630807073e-05,1.5456029232767342e-05,7.728014616383673e-06,0.005381528625078099,0.007610630767884482,0.003805315383942239,0.002096866567740238,0.002965417138584966,0.0014827085692924822,0.2694641115525309,0.38107980113040585,0.19053990056520295,0.28021755056020337,0.396287460417208,0.19814373020860399,0.0005044443115344342,0.0007133919868339555,0.0003566959934170333,20,512,20,512,2,10,10,10.0,0.0
