,$\sigma ($$\bar{x}$$)$,$range ($$\bar{x}$$)$,$IQR ($$\bar{x}$$)$,$\sigma ($$\sigma$$)$,$range ($$\sigma$$)$,$IQR ($$\sigma$$)$,$\sigma ($min$)$,$range ($min$)$,$IQR ($min$)$,$\sigma ($$x_{10}$$)$,$range ($$x_{10}$$)$,$IQR ($$x_{10}$$)$,$\sigma ($$x_{20}$$)$,$range ($$x_{20}$$)$,$IQR ($$x_{20}$$)$,$\sigma ($$x_{30}$$)$,$range ($$x_{30}$$)$,$IQR ($$x_{30}$$)$,$\sigma ($$x_{40}$$)$,$range ($$x_{40}$$)$,$IQR ($$x_{40}$$)$,$\sigma ($median$)$,$range ($median$)$,$IQR ($median$)$,$\sigma ($$x_{60}$$)$,$range ($$x_{60}$$)$,$IQR ($$x_{60}$$)$,$\sigma ($$x_{70}$$)$,$range ($$x_{70}$$)$,$IQR ($$x_{70}$$)$,$\sigma ($$x_{80}$$)$,$range ($$x_{80}$$)$,$IQR ($$x_{80}$$)$,$\sigma ($$x_{90}$$)$,$range ($$x_{90}$$)$,$IQR ($$x_{90}$$)$,$\sigma ($max$)$,$range ($max$)$,$IQR ($max$)$,$\sigma ($$IQR$$)$,$range ($$IQR$$)$,$IQR ($$IQR$$)$,$\sigma ($$CV$$)$,$range ($$CV$$)$,$IQR ($$CV$$)$,$\sigma ($$\overline{\Delta x}$$)$,$range ($$\overline{\Delta x}$$)$,$IQR ($$\overline{\Delta x}$$)$,$\sigma ($$max(\Delta x)$$)$,$range ($$max(\Delta x)$$)$,$IQR ($$max(\Delta x)$$)$,$\sigma ($$\sigma(\Delta x)$$)$,$range ($$\sigma(\Delta x)$$)$,$IQR ($$\sigma(\Delta x)$$)$,$\sigma ($$\gamma_{1}$$)$,$range ($$\gamma_{1}$$)$,$IQR ($$\gamma_{1}$$)$,$\sigma ($$Kurt[X]$$)$,$range ($$Kurt[X]$$)$,$IQR ($$Kurt[X]$$)$,$\sigma ($$R_{XX}$$)$,$range ($$R_{XX}$$)$,$IQR ($$R_{XX}$$)$,$||X_{train}||$,$||x_{train}^{i}||$,$||X_{test}||$,$||x_{test}^{i}||$,$||Y_{C}||$
ACSF1,2.17083672768804e-10,2.3249616154920755e-10,4.016543103870338e-10,3.6180939059138925e-10,4.5932547544400347e-10,3.300367459665444e-10,0.07166336775914404,0.08203143780253525,0.08800278028466259,0.06491685944008284,0.08907682598561191,0.10032327741136683,0.05410840500475415,0.08420246183914364,0.08820052339198421,0.03172977619836081,0.056859699829208216,0.023576257615802503,0.06878840472233899,0.060170208576473046,0.05286451432504285,0.031128433398214753,0.028326273796569684,0.04364859156441819,0.20215434290782788,0.18532069703169474,0.23446136686770166,0.19633927346699095,0.23274134379892436,0.3527323869479828,0.12676402775098125,0.18867532991867714,0.10242089747426655,0.08909574246824772,0.13209065488617305,0.09328755517120492,1.0,1.0,1.0,0.47952447403070214,0.3913591233173159,0.5997539971306138,2.7917305973333943e-09,3.909349794980976e-09,2.9481838106623358e-09,0.002365957040808026,0.00423986696317579,0.0034991045934980366,1.0,1.0,1.0,0.27231411336503836,0.27343930095071256,0.49214381253630746,0.790904147258994,0.5748222325584257,0.4085678179940785,0.8999447688953447,0.6223546963211027,0.19997589761078982,0.6954602390623631,0.5279195700556276,0.8091588455468512,0.011692650334075724,0.8891640866873065,0.004767580452920143,0.8891640866873065,0.22857142857142856
Adiac,1.0066401832840023e-09,1.4836626613387173e-09,1.5591479449749602e-09,2.652405278247749e-09,3.577052099366094e-09,3.0040639444135308e-09,0.17406632088133003,0.3955959980748273,0.15044211657239162,0.09118573062906166,0.22955261325325538,0.16359419597389405,0.09579017515624101,0.32829865265190883,0.024067470845603744,0.0722515903189883,0.25060591231641866,0.07352743055789078,0.13984218763792733,0.1615124698463294,0.23954342526009786,0.13751386129367013,0.163840019427854,0.1947571047362919,0.1097409061667358,0.1199667359120832,0.13933982518702756,0.07186903412379717,0.18731262028164172,0.03546821796500122,0.07159894130430583,0.15132401892051325,0.09537911824326328,0.06387002748528996,0.13440061222508717,0.0865056928515598,0.07278734938771375,0.1292487942252665,0.070654662660042,0.32952141960954073,0.6457891884517228,0.14818521071615406,2.694607013468381e-09,5.254388079580118e-09,3.2333881825508206e-09,0.015780395142499768,0.040712374950693714,0.008457309421997057,0.03213663976724501,0.06309251945904037,0.0189218399604286,0.05575662241584279,0.14024692548367973,0.012914862577076735,0.07544403838150755,0.0897979530184596,0.09029459481046487,0.00802996903892105,0.017965083444869787,0.0024401590798530013,0.0036745930872486014,0.0063124136984782685,0.0006968111602169448,0.05206013363028953,0.09411764705882353,0.022109654350417163,0.09411764705882353,1.0
AllGestureWiimoteX,0.10053872463758111,0.11064438708522141,0.17062282045235622,1.0,1.0,1.0,0.7323352203994651,0.8231570342426506,1.0,0.4672267759377959,0.581767785642153,0.8369717112317729,0.3085597084502909,0.45101419278112637,0.5124973920815628,0.20287790517453635,0.29811066908581774,0.27642482930712264,0.22479011486276065,0.18027252062598365,0.23858509674208553,0.11171868020414147,0.08682590899345927,0.15076276160271246,0.11475776017876214,0.11479333733326885,0.07348604614900445,0.1615680298922627,0.2366425600604485,0.1807153355522274,0.25258297706807703,0.37485809011024634,0.298400232973833,0.43288118825144056,0.6361942510100361,0.5831743963921276,0.45467339912113935,0.48364868666201505,0.7300613973419585,1.0,0.8895236553340772,1.0,0.7668142084807079,1.0,1.0,0.10731000236752532,0.2123178326104598,0.0564368942073146,0.1554090470476921,0.15904153211554584,0.21822534221193188,0.6478965213678137,0.7292186157159732,0.712544857468307,0.18790589824832077,0.16080457951780924,0.15361847284894325,0.19614765191759279,0.19293559379412992,0.09318460381976537,0.24655588722773003,0.17049772452330064,0.30820311549173535,0.03953229398663697,0.10897832817337462,0.04052443384982122,0.1869969040247678,0.22857142857142856
AllGestureWiimoteY,0.1735614061636914,0.18851082388660914,0.28719254131376404,0.6446290616102162,0.7386189674031881,0.6515427643325261,0.49109518618514164,0.6384047629675039,0.5181820783133773,0.2868087011471419,0.41067563005315316,0.4464875717460036,0.1768805080341424,0.2914057581355277,0.22256272086218093,0.10270709808714995,0.17747056993373778,0.14163779573016363,0.11271066559416912,0.09293235002061674,0.17882390740764395,0.1441803376109551,0.11440314118973728,0.21632356497710598,0.23758260647812837,0.20925852402710352,0.22751721377654963,0.204198761217105,0.27598381526602433,0.2727161503053811,0.23984954907744035,0.3610677003220107,0.28040669048783506,0.40030224386626023,0.5375454184896893,0.67744925902031,0.43569798054112097,0.43237894369244184,0.7037156311233568,0.6451261222072386,0.6897657105121343,0.2373985647842465,0.5567130397393231,0.847070279018879,0.634699806136637,0.289446801943458,0.5046686434999185,0.30709018245033787,0.1313213744180634,0.14694620782022472,0.18122283545875045,0.611291873896936,0.7217532678163199,0.7054697260003846,0.4775912339496316,0.35867900011790654,0.5572456433623886,0.11977418005182196,0.10430254502916822,0.1036716121801967,0.10436093976793435,0.08558386225470847,0.09144109437274847,0.03953229398663697,0.02414860681114551,0.04052443384982122,0.04086687306501548,0.22857142857142856
AllGestureWiimoteZ,0.12148713278857966,0.14297920817685575,0.1371730373831649,0.727821667137064,0.6312314416781813,0.7690909315475849,0.5347981114541592,0.6190258848432796,0.6751799426234494,0.3533029761801838,0.4219189349417647,0.6977980011752701,0.21475709174921281,0.2914671147899799,0.41971715190834985,0.153322214797381,0.23672494660454624,0.2544476392052115,0.22020981581464236,0.20553754142334468,0.21851578403996383,0.16349838868307476,0.1579252852072111,0.10591040145862098,0.15246908005533744,0.1397834052253013,0.14785785418232456,0.13092518698630304,0.16262281422755054,0.17021461645264618,0.1901734991591317,0.2612187911490238,0.330139543744582,0.33551276449426676,0.3717423398306459,0.7612600188587701,0.31152733562289325,0.28866700277972435,0.4936585504807307,0.6629373431049115,0.4472300032812045,0.9394150779182561,0.4709549549028444,0.5344044334596401,0.6398835670731345,0.2888102597759109,0.5828564600681664,0.2163636735002923,0.12155657303058966,0.13020739460008168,0.17090777065224574,0.41963692088424803,0.4038831599730227,0.5789800247410908,0.10795113848997578,0.07557073140893922,0.15731218207599476,0.11260596365445028,0.09317474759137584,0.10702342911787133,0.24211987340444677,0.18423260698843674,0.22884989733322092,0.03953229398663697,0.04148606811145511,0.04052443384982122,0.05325077399380805,0.22857142857142856
ArrowHead,3.98287487283747e-10,2.658308200495103e-10,4.359825626987087e-10,0.0,0.0,2.6703515691883516e-11,0.1767409158629181,0.14038011495976052,0.15699375603752008,0.027254790375052587,0.0242665938124915,0.029073120668280425,0.12157412096599972,0.11892206041682991,0.1373487512728676,0.10741272515449043,0.10505391874732332,0.1200600967731666,0.04304816369428239,0.024283782264834623,0.04509099080683305,0.1185243476249763,0.060204035956198894,0.10250243790476986,0.247402568844903,0.13156991722328817,0.20895525106718923,0.15533051918114968,0.12294378301626666,0.161449918850759,0.06673225575905015,0.06080329351857947,0.07569119693620126,0.14272173970046392,0.12137818880780812,0.1459433517106919,0.13781745741452645,0.09767586300215729,0.1492522215493594,0.6091368799523376,0.34089702138418365,0.4642930344507703,2.074881524324407e-10,1.6371041385596324e-10,2.3296597237464106e-10,0.003345203133898988,0.0030962487496290748,0.004371156526105113,0.04232874685044612,0.028937290740670037,0.04516763590987918,0.1320589092758809,0.0885106108257379,0.14392390358323495,0.0190150925826901,0.009767920401012715,0.018461124670188407,0.019707451964790804,0.011392074453915742,0.014812086030646359,0.00579765357943771,0.0030559912744659644,0.0041485182452388695,0.0027839643652561247,0.14055727554179567,0.009237187127532777,0.14055727554179567,0.02857142857142857
BME,1.0,0.609727211292694,1.0,0.4284688594993629,0.29661342008002184,0.28877101045252973,1.0,0.7328582707841182,0.819590243294361,1.0,0.8346745466153935,1.0,1.0,0.8658401282481994,1.0,1.0,0.8750111116918781,1.0,0.6926566117525784,0.3687270616678596,0.6846655255994669,0.1629682806379249,0.08934363108196257,0.152115050954861,0.2738760115975833,0.14914770124454627,0.23687174102844322,1.0,0.7303005943651667,0.9590315899203815,1.0,0.8033073326853194,1.0,1.0,0.831680151134396,1.0,0.009239299518632397,0.00856885083400766,0.013093511373147855,0.380077343089344,0.2195057793647585,0.2989612639234206,1.0,0.8691458426734899,0.8418619455619512,0.005814938349281789,0.0057619837193194825,0.008134531420006896,0.03741747185634242,0.026113295870375457,0.04075971903694383,0.3273125725423605,0.2029097009936747,0.32539364864856024,0.1645292087212716,0.07413435184026917,0.14011206638466522,0.022591226275172065,0.012310597933792815,0.01600635919486638,0.01724367422503894,0.008521464770117934,0.01148662631322089,0.0019487750556792874,0.06439628482972136,0.0077473182359952325,0.06439628482972136,0.02857142857142857
Beef,6.085488666809664e-10,5.506795644305983e-10,3.7939872346148543e-10,1.5042422089593033e-09,1.453604848065717e-09,8.952857183086801e-10,0.26060919729188214,0.24927562622223912,0.06714883222761589,0.09445653502242514,0.12489661644355682,0.002593128971139353,0.06593531925413054,0.08835186838930717,0.0837312018422067,0.04886711296702517,0.06413335402100591,0.013050326867290572,0.07693323514947137,0.05489972544721865,0.0701691327892866,0.08186525000645131,0.05255071997345419,0.10655046559008251,0.11889976197951059,0.07383313297050602,0.13942177854821777,0.0777600476793224,0.07091428528647331,0.13418620984410698,0.06618659677300744,0.07123197866237127,0.11121922764446324,0.12717183567000462,0.15849758835086866,0.10905962113810659,0.08162520599326001,0.08014165214904172,0.0707120389209048,0.345609693844965,0.2457371453060071,0.1783027134263042,1.374012136423837e-09,1.6640815785400828e-09,1.354336243146279e-09,0.058368001002457356,0.07451932669741708,0.004585186747012242,0.07168737489246682,0.059188204708675786,0.03627693461836011,0.05972067795920976,0.053748450839165116,0.021746909882018887,0.2094210778494755,0.12462487450830964,0.25735624581965616,0.0420831869595848,0.03158204796630806,0.009558934916616938,0.004475686880275639,0.0029875336816773913,0.0014084850311868516,0.0019487750556792874,0.2761609907120743,0.0005959475566150178,0.2761609907120743,0.08571428571428572
BeetleFly,1.002770159629833e-09,4.989711762054109e-10,8.183511790232248e-10,4.495729304394683e-10,1.9916369250772085e-10,2.2060095817057836e-10,0.3307926992334148,0.19020400470367066,0.2127141804974792,0.015571890060873377,0.010256352542739837,0.012287846304082457,0.026531285131419675,0.018099838928781774,0.020904365988906316,0.0031780257824567553,0.0,0.0,0.0,0.0,0.0,0.015144965764832983,0.0058458148284846745,0.009952991721277997,0.0,0.0,0.0,0.0,0.0,0.0,0.025626994181598802,0.016450103847548265,0.020477970483049848,0.018766996397186753,0.010706607974294003,0.012873468195303182,0.01794681373750762,0.008839087387606491,0.013506442518353581,0.04948384826160699,0.01983193999913826,0.027010595645153384,9.806371145947734e-10,5.925537206774149e-10,6.483473938135495e-10,0.0006670925557278935,0.0004725258588256935,0.0006670925557278913,0.000500301536631238,0.0,0.0,0.12981236950973807,0.058577832676655915,0.09644193836972784,0.0,0.0,0.0,0.01041702484920279,0.004083347493713704,0.005309208135408747,0.008663660312299051,0.003225984934265512,0.004376756813676388,0.0005567928730512249,0.3021671826625387,0.0,0.3021671826625387,0.0
BirdChicken,2.596264558485459e-10,1.2918824598645228e-10,2.118771702924296e-10,1.5574291720184949e-10,5.232175377521467e-11,7.76416934629189e-11,0.47198696825527386,0.27196902260417016,0.3041558870123515,0.019679561016172804,0.012961850801617283,0.015529227354754432,0.0,0.0,0.0,0.07051000787012524,0.04663203796739741,0.0532930809041175,0.1433437005210048,0.055429797997923906,0.10292402084202384,0.21786842034456885,0.08409516812947766,0.1431791010747915,0.2648087727529208,0.10398409953650135,0.1651443132609903,0.10600032736364458,0.06209895486842925,0.08154841975944718,0.13677114723426959,0.08779412674809774,0.10929083200898627,0.22380803336843236,0.14685489678951735,0.176576171247095,0.0,0.0,0.0,0.17231506570599767,0.0690597470504396,0.0940576112582569,2.0000719748199263e-10,8.47327790485046e-11,1.5646717093148016e-10,0.004669652475357038,0.003307684259687126,0.004669652475357038,0.02518374676448397,0.012026289158488485,0.018771593198740368,0.1137891039052466,0.050676110270977674,0.08390754191228733,0.2032117813717727,0.07418369274939493,0.14020531946590623,0.024522405351984387,0.00961248570329753,0.012498247424696324,0.0033206264970108436,0.0011952515264088469,0.001650233445487612,0.0005567928730512249,0.3021671826625387,0.0,0.3021671826625387,0.0
