,$\sigma ($$\bar{x}$$)$,$range ($$\bar{x}$$)$,$IQR ($$\bar{x}$$)$,$\sigma ($$\sigma$$)$,$range ($$\sigma$$)$,$IQR ($$\sigma$$)$,$\sigma ($min$)$,$range ($min$)$,$IQR ($min$)$,$\sigma ($$x_{10}$$)$,$range ($$x_{10}$$)$,$IQR ($$x_{10}$$)$,$\sigma ($$x_{20}$$)$,$range ($$x_{20}$$)$,$IQR ($$x_{20}$$)$,$\sigma ($$x_{30}$$)$,$range ($$x_{30}$$)$,$IQR ($$x_{30}$$)$,$\sigma ($$x_{40}$$)$,$range ($$x_{40}$$)$,$IQR ($$x_{40}$$)$,$\sigma ($median$)$,$range ($median$)$,$IQR ($median$)$,$\sigma ($$x_{60}$$)$,$range ($$x_{60}$$)$,$IQR ($$x_{60}$$)$,$\sigma ($$x_{70}$$)$,$range ($$x_{70}$$)$,$IQR ($$x_{70}$$)$,$\sigma ($$x_{80}$$)$,$range ($$x_{80}$$)$,$IQR ($$x_{80}$$)$,$\sigma ($$x_{90}$$)$,$range ($$x_{90}$$)$,$IQR ($$x_{90}$$)$,$\sigma ($max$)$,$range ($max$)$,$IQR ($max$)$,$\sigma ($$IQR$$)$,$range ($$IQR$$)$,$IQR ($$IQR$$)$,$\sigma ($$CV$$)$,$range ($$CV$$)$,$IQR ($$CV$$)$,$\sigma ($$\overline{\Delta x}$$)$,$range ($$\overline{\Delta x}$$)$,$IQR ($$\overline{\Delta x}$$)$,$\sigma ($$max(\Delta x)$$)$,$range ($$max(\Delta x)$$)$,$IQR ($$max(\Delta x)$$)$,$\sigma ($$\sigma(\Delta x)$$)$,$range ($$\sigma(\Delta x)$$)$,$IQR ($$\sigma(\Delta x)$$)$,$\sigma ($$\gamma_{1}$$)$,$range ($$\gamma_{1}$$)$,$IQR ($$\gamma_{1}$$)$,$\sigma ($$Kurt[X]$$)$,$range ($$Kurt[X]$$)$,$IQR ($$Kurt[X]$$)$,$\sigma ($$R_{XX}$$)$,$range ($$R_{XX}$$)$,$IQR ($$R_{XX}$$)$,$||X_{train}||$,$||x_{train}^{i}||$,$||X_{test}||$,$||x_{test}^{i}||$,$||Y_{C}||$,$min(||I_{c}||)$,$max(||I_{c}||)$,$mean(||I_{c}||)$,$std(||I_{c}||)$
ACSF1,5.377720653159376e-11,8.139484570754849e-11,8.555234994190476e-11,2.1528860911565014e-10,3.102894971912806e-10,1.6756191995980917e-10,0.026077108135848147,0.03667524160239418,0.035283158553488646,0.024420569350217258,0.03516986898996173,0.033189510573506616,0.022539519983854745,0.03364318537092029,0.030820603423303335,0.014610889544763677,0.024051684470916566,0.011069548294872082,0.014016927532290113,0.022586841580090646,0.011008889370274192,0.006596079546340651,0.010737643532161886,0.009768694407528401,0.0382880544601601,0.06568539298737483,0.05236939525286437,0.05448788982197797,0.08031818143314705,0.09252667097756323,0.03645675561418027,0.06249504383195952,0.027252149784508472,0.02778581009180399,0.04386864107684053,0.026818456129020573,0.43668720484567847,0.6004528129532134,0.42242567763364963,0.1480579926134016,0.20209750308106414,0.16200548984774732,9.929411756561104e-10,8.373540668884004e-10,1.0123132695881725e-09,0.00036635966352225187,0.0006836660821619099,0.00040437032806141314,1.0,1.0,1.0,0.0758925324446097,0.08748957560545079,0.4607729033903359,0.28461128840823696,0.33006326850231665,0.14933313260563513,0.07874544380601728,0.09810811375178338,0.024376463175410985,0.3066159917092181,0.2474384739877049,0.8091910015797601,0.009427609427609427,0.5107811947684694,0.004767580452920143,0.5107811947684694,0.13793103448275862,0.0050704225352112674,0.0037422037422037424,0.0049532195927352776,0.0
Adiac,2.322847174312471e-10,5.007676183337639e-10,3.221112608828262e-10,1.2842402417376754e-09,2.119957844380383e-09,1.3573561555560828e-09,0.05958986464213332,0.1673104326567369,0.05854342603540476,0.03313107890715221,0.08727031452907152,0.05277621059512177,0.03644326848825104,0.1215805782049384,0.01081589597112309,0.028262044455431217,0.09347550355671931,0.02673109098238111,0.027639352164263397,0.059600602489161124,0.04772819290043899,0.026667984296215263,0.05955748131290562,0.041742426129635246,0.020916390657906972,0.04259605936017923,0.03120910229231923,0.02088037732264544,0.0648536055977916,0.010283992358429644,0.020591528619560685,0.05012314646192434,0.025378473346543667,0.020703144178422447,0.04459041419624079,0.025057338961240908,0.03678344478392634,0.08080655619146869,0.033504549602215154,0.10398015336367379,0.3302899947686745,0.04267104094597179,9.597619981550888e-10,1.1168651022894577e-09,1.108870285335267e-09,0.002358495997294707,0.006467164895802422,0.0009612854014010515,0.03544251074765593,0.06488199039029731,0.021843542817160874,0.01888355817782483,0.04685234717787225,0.027585376904274532,0.02714895988457869,0.05156203813859565,0.03300302693101166,0.0009464108661814717,0.00300094599161218,0.00046927355340897547,0.0017276785812235169,0.0030320190085216963,0.0008651900736558774,0.04197530864197531,0.056910569105691054,0.022109654350417163,0.056910569105691054,0.603448275862069,0.0016901408450704226,0.0058212058212058215,0.0052507102589656246,0.0032437158105727325
AllGestureWiimoteX,0.022730377431855613,0.037086385704540356,0.034870471323376534,0.46666967250260516,0.5804448451124032,0.4449447022613189,0.24229094038415344,0.3454380807515139,0.37502570763486864,0.15782273753981496,0.21790184729374115,0.2612328553271315,0.10741659974473838,0.16578972634137615,0.16316943751119822,0.07226797306944621,0.11049757380695209,0.09034693991108872,0.04392556084702121,0.06645243335911906,0.047539691930735185,0.021801167213488615,0.03181257351244221,0.03243346467460845,0.02185944725568367,0.040768315123619725,0.016559578825999188,0.04509950100533097,0.08164621026722842,0.04793561892052818,0.07264171098572325,0.12416447228316436,0.07939832636965824,0.12431102097325188,0.2013816907534414,0.15403249936377986,0.2014896393151149,0.29230506033383896,0.3094592467205833,0.30099778877701777,0.45309359741404076,0.2677770524856455,0.2619576391729761,0.20780898107887386,0.33855377150002763,0.0159512722870373,0.03367889273007017,0.006350444361905217,0.158293864095639,0.1606477427221734,0.22055350865576356,0.174764973841294,0.2265486475811248,0.6599991469158123,0.06761899022189441,0.09233408539116328,0.05614815158290046,0.01735534791846416,0.030534426591447693,0.011451816072926795,0.10877191763370524,0.07996338256303964,0.30831968072342364,0.031874298540965205,0.06539413220219159,0.04052443384982122,0.10993283845881938,0.13793103448275862,0.016338028169014085,0.012058212058212059,0.015960374243258118,0.0
AllGestureWiimoteY,0.039239768393546794,0.06318608027070376,0.0586940202325495,0.3008288330838058,0.4287275721428429,0.28990050129367034,0.16334186440832632,0.2684678126995563,0.19553607173663654,0.09799780812422833,0.15444623186123888,0.1403511631204995,0.06349249385402886,0.10828964995624843,0.07273154242124841,0.038522020802703776,0.06726939241176651,0.048086212970088804,0.0224376992891322,0.034552728812995516,0.03578480628509079,0.027925758789441275,0.04174747713415562,0.04630577070540349,0.044947777391633005,0.0741425463769836,0.05082463145724659,0.05660998610936453,0.09503852635009712,0.07178449370741889,0.06897963523267658,0.1195966731191345,0.07461060504447128,0.11516377662173362,0.17055771215699014,0.17851383962685521,0.19330560382564652,0.26170834126806264,0.2984338240871421,0.1967194205822018,0.35244720302038496,0.06624713115124883,0.19018326992676834,0.1760288115889272,0.2148800131430801,0.0429998399125786,0.08003738742214554,0.03450430230708881,0.13428846623867327,0.14857552020763656,0.18366119733255956,0.16512876409133173,0.22427095678369138,0.6536037513529739,0.1718638812275347,0.2059536956236745,0.20367545824510852,0.010693520741281754,0.01658706869780555,0.012721028921725223,0.046102826537963625,0.04017578417079843,0.09159418320808221,0.031874298540965205,0.016967126193001062,0.04052443384982122,0.026511134676564158,0.13793103448275862,0.016338028169014085,0.012058212058212059,0.015960374243258118,0.0
AllGestureWiimoteZ,0.027466514929986946,0.04792454639366739,0.02803428318582795,0.3396522990557946,0.36639503641107746,0.3422029355541035,0.17764423995999046,0.2603943127989983,0.25402183624114366,0.12004668163653125,0.15861621165222337,0.21814902200048156,0.07612694993077648,0.10831175412840931,0.13422895380872873,0.055573448879837985,0.0885016274744662,0.08345627687637616,0.04304742634081181,0.07568010824458533,0.04359210523730641,0.031570525640911194,0.0574266541866769,0.022942951531121095,0.028948333823883277,0.04959722166639786,0.033103983155289125,0.03682579854110063,0.056448848683623515,0.045213574168531674,0.05469303008230041,0.08652365844345457,0.08784352136903655,0.09697272683766325,0.11875060590707107,0.20027785680081261,0.13975121394614978,0.17594403608881892,0.21052717252061512,0.20195318155192685,0.23024758554701283,0.25176649439152116,0.1608867529974525,0.1110540408129001,0.2166349949586123,0.042905309022030984,0.09243574358998466,0.024313726860237046,0.12455701787897458,0.13186867772132083,0.1733768513367879,0.11467540763382894,0.1272882268231139,0.5392664167258906,0.03884682197867769,0.04339275901164784,0.05749821672635219,0.01006825888475828,0.01483599079181571,0.013126689809740561,0.10681684848842558,0.08639905717361031,0.22897983329043137,0.031874298540965205,0.02686461647225168,0.04052443384982122,0.0335807705903146,0.13793103448275862,0.016338028169014085,0.012058212058212059,0.015960374243258118,0.0
ArrowHead,9.474481488362737e-11,9.256813732155182e-11,9.256807230848691e-11,4.6443139316802917e-11,4.367639276106673e-11,3.2595406135569306e-11,0.060465162156883155,0.060984081165076844,0.06098408116507684,0.01193218299494338,0.011132687655079252,0.01113268765507938,0.04504399481745852,0.04615116826487436,0.04615116826487427,0.04010727174573585,0.04132080520468915,0.041320805204689094,0.009082010923696704,0.009479855543505599,0.0094798555435056,0.023085203109500244,0.022221845154635184,0.022221845154635118,0.046793711173581984,0.04669542410933225,0.046695424109332244,0.04341534565787912,0.042941548902090065,0.042941548902090176,0.01919189207658979,0.02013991174791617,0.02013991174791604,0.04284247044511051,0.04052140607487915,0.04049213791406398,0.0648307160328371,0.061964485785735365,0.06639679109260146,0.18614411569289513,0.17667258885488912,0.12620771149052853,1.1011709346190136e-10,5.897656370138426e-11,9.30660300302625e-11,0.0005117844444159971,0.0005023208732289603,0.0005023208732289602,0.04559980528146216,0.030791997343763707,0.04801117739259857,0.03897021086776222,0.03106750642115608,0.14600786040740318,0.006842687597374709,0.005608745715486955,0.00674761314280109,0.001965002416574353,0.0019666127478345508,0.0019666127478345503,0.002663367744331004,0.0015061759466166716,0.004316315558723978,0.002244668911335578,0.08342170378225522,0.009237187127532777,0.08342170378225522,0.017241379310344827,0.006197183098591549,0.004573804573804574,0.006053935057787562,0.0
BME,0.2260857943997997,0.20437167330872558,0.20437167330872538,0.19995342236667613,0.17216773070732982,0.1284871312822333,0.3298878729975918,0.3078184077689143,0.3078184077689143,0.33448530619331324,0.3117013210881408,0.3117013210881408,0.33805968147025556,0.3152337267718793,0.31523372677187944,0.3408057331703436,0.31721455394222303,0.3172145539422231,0.13362488198349856,0.13528266506056424,0.1352826650605642,0.0314705093285282,0.03271960167674491,0.03271960167674465,0.05177012762778431,0.05290559580727735,0.052905595807277606,0.271479823433598,0.24969434187131154,0.24969434187131165,0.28759543429621,0.26607997446376225,0.2660799744637624,0.2835419121302563,0.26246354086148455,0.26227396636577577,0.009375380333494403,0.008787269357761519,0.009415820698313877,0.11883582331561805,0.11551061188764959,0.08251608284964264,0.34161813417991393,0.18061631197818276,0.2850155367545942,0.0008785571127949232,0.0009250303573138166,0.0009250303573138166,0.04070530542540679,0.027973396236284954,0.04361638753017518,0.09037093136865497,0.06597087039195836,0.31004308825328347,0.05920675752837424,0.0425679890073022,0.05121150728855011,0.0022165453359210435,0.002111152238307585,0.002111152238307586,0.0077079331338694495,0.004067101320386562,0.011653187182474675,0.0015712682379349046,0.039943442912689996,0.0077473182359952325,0.039943442912689996,0.017241379310344827,0.0050704225352112674,0.0037422037422037424,0.0049532195927352776,0.0
Beef,1.4228192587525766e-10,1.880452842322867e-10,8.100393840153977e-11,7.484273582665748e-10,8.87413833587722e-10,4.190664556503887e-10,0.08791219574756315,0.10635140809252382,0.0275145236079532,0.034215646748773455,0.048454913183526765,0.0029353093692844165,0.026484612543713905,0.03513803866057964,0.029426509947893517,0.020384185831274878,0.02665800562796828,0.007769279171368061,0.015578453661949173,0.020661875628304276,0.01441266719755817,0.016168673936553035,0.019464680978987795,0.023078385587050273,0.022638051161006614,0.02629721333012578,0.03122733325347951,0.02247097691292314,0.025229976772801838,0.03587412472687569,0.019034963043521202,0.023594211445984205,0.029593209251518156,0.03847649805117463,0.05211979551139306,0.030914153569707847,0.04059518320780425,0.051500432477895486,0.033528560956445276,0.10870763286928128,0.1287270694576376,0.05063008438817019,5.086228403033929e-10,3.7076716663707107e-10,4.727101644320904e-10,0.008683048420500768,0.011827982566659902,0.0005263611580288677,0.07485815487462677,0.0609851327879408,0.039146953081629896,0.019927099731032658,0.020461510161557582,0.035568894440436025,0.07536134813952718,0.07155967721329011,0.09406471261628381,0.003916770168598697,0.00514372095255436,0.0013308387824239134,0.0020807418987906848,0.0014740991674430219,0.0015767440301949537,0.0015712682379349046,0.16083421703782255,0.0005959475566150178,0.16083421703782255,0.05172413793103448,0.0028169014084507044,0.002079002079002079,0.00275178866263071,0.0
BeetleFly,2.314097600590664e-10,1.7071338624614514e-10,1.7071338624614514e-10,2.562451915101465e-10,1.592799314020263e-10,1.1886904594446703e-10,0.11088069948317854,0.0817413802364839,0.0817413802364839,0.008058243604579638,0.0059364910260206296,0.005936491026020662,0.013340646284371182,0.009829244240285216,0.009829244240285216,0.004992258781147041,0.003677518372177591,0.0036775183721776566,0.0008288209961895911,0.0006105635082205367,0.0006105635082205368,0.003580453757579337,0.0026388904872514936,0.002638890487251558,0.0002875492847188805,0.00021221693982218464,0.00021221693982192402,0.0014754217655920828,0.0010897575961504994,0.0010897575961503674,0.007370206521363353,0.0054487778631998425,0.005448777863199584,0.00803949119202688,0.005940779505942717,0.005936488546995327,0.01313090251561726,0.008948540927167943,0.00958862798570222,0.021692155286635446,0.014906593335091159,0.010648663967261248,3.7423879932859954e-10,1.4809405432374278e-10,2.3369497686355125e-10,0.0001140666012838157,8.627330579883041e-05,8.627330579883018e-05,0.003914230799626484,0.001909976137903938,0.0029780531009011854,0.03837880704628282,0.021934963069097986,0.10308767567047068,0.0,0.0,0.0,0.0011546265316724248,0.0008165064152500979,0.0008165064152500985,0.003926493053853548,0.0015858288947294017,0.004544515669801821,0.0004489337822671156,0.17568045245669847,0.0,0.17568045245669847,0.0,0.0050704225352112674,0.0037422037422037424,0.0049532195927352776,0.0
BirdChicken,6.339552543995571e-11,4.676753831794341e-11,4.676727826568379e-11,1.1912363547475717e-10,7.404628502484527e-11,5.5260078476581646e-11,0.15708844070101768,0.11580578064486563,0.11580578064486564,0.009420308493302047,0.0069399213497406825,0.0069399213497406825,0.004490630687024264,0.003308648237483932,0.0033086482374838676,0.0276753330182691,0.02038687297524932,0.02038687297524926,0.02831066188755108,0.02085547678156867,0.020855476781568738,0.04182860438671088,0.030828803745177706,0.030828803745177706,0.050065689070158764,0.0369494479353176,0.03694944793531759,0.030095976732025697,0.022229114428261268,0.022229114428261393,0.03933475748803064,0.02908010179007428,0.029080101790074416,0.06560920385950775,0.048481900704902,0.04844688276737426,0.005390500904381841,0.0036735569320864134,0.003936325608025086,0.05778565137079536,0.03970961825625972,0.02836693613179243,1.075614635901388e-10,4.2564301885997847e-11,6.716707228753447e-11,0.000708474282287539,0.0005358485105935394,0.0005358485105935395,0.028513366311223715,0.013913295371072179,0.02169374349830719,0.03416066648456651,0.019524133641025055,0.09175750833008729,0.07312689801462599,0.04259632058672709,0.05124559165382199,0.0023849962514500035,0.0016865754304430304,0.0016865754304430302,0.0015716761009333428,0.0006342998614846866,0.0018184517107766784,0.0004489337822671156,0.17568045245669847,0.0,0.17568045245669847,0.0,0.0050704225352112674,0.0037422037422037424,0.0049532195927352776,0.0
